iter	RMSE
136	113.9571524
137	113.9424674
138	113.9033859
139	113.8767042
140	113.8492869
141	113.8024119
142	113.7702911
143	113.7472571
144	113.7205424
145	113.7049468
146	113.6893484
147	113.6527917
148	113.6380149
149	113.6268735
150	113.6074874
151	113.5906567
152	113.5762935
153	113.5612477
154	113.5428415
155	113.5018824
156	113.474016
157	113.455656
158	113.4140825
159	113.3798667
160	113.3430041
161	113.3322463
162	113.3082341
163	113.2842671
164	113.2393054
165	113.2209859
166	113.2055752
167	113.1714723
168	113.152968
169	113.1289736
170	113.1002067
171	113.0899852
172	113.0762287
173	113.0625813
174	113.0440399
175	113.0254507
176	113.0241012
177	112.9947224
178	112.9776163
179	112.9602468
180	112.9515157
181	112.9196681
182	112.899687
183	112.8802735
184	112.8529297
185	112.8354932
186	112.8045818
187	112.7874137
188	112.7567902
189	112.7417645
190	112.7311691
191	112.7041109
192	112.6926854
193	112.6758156
194	112.655434
195	112.6314159
196	112.5929296
197	112.5750341
198	112.5490882
199	112.5195265
200	112.4822891
201	112.4496555
202	112.4280825
203	112.406564
204	112.377371
205	112.3501198
206	112.3175996
207	112.3049581
208	112.2742714
209	112.2528772
210	112.2258336
211	112.2242454
212	112.2122309
213	112.1827525
214	112.163101
215	112.1298655
216	112.1128769
217	112.0877405
218	112.0659025
219	112.0355003
220	112.0177681
221	111.9987712
222	111.9787385
223	111.9564327
224	111.9356747
225	111.923629
226	111.9074425
227	111.8833827
228	111.8700586
229	111.8401907
230	111.8072602
231	111.7923545
232	111.7821357
233	111.7568989
234	111.7366966
235	111.7149491
236	111.7021791
237	111.6839872
238	111.6687454
239	111.6435697
240	111.624497
241	111.5892835
242	111.5561874
243	111.5426038
244	111.525299
245	111.5085897
246	111.4881572
247	111.4493128
248	111.4307784
249	111.4167832
250	111.374153
251	111.3486508
252	111.3260174
253	111.3128701
254	111.2940743
255	111.281363
256	111.2651621
257	111.246615
258	111.220284
259	111.2081566
260	111.1949314
261	111.1669074
262	111.1520946
263	111.1441799
264	111.1285876
265	111.0932045
266	111.0763878
267	111.0596904
268	111.033769
269	111.0225374
270	111.0078668
271	110.9771413
272	110.9569475
273	110.9481319
274	110.9246867
275	110.9022736
276	110.8887678
277	110.8838063
278	110.8652494
279	110.8306615
280	110.8122469
281	110.790717
282	110.7672425
283	110.7496298
284	110.7281111
285	110.7158197
286	110.7059051
287	110.6965156
288	110.6690189
289	110.6467881
290	110.6371304
291	110.6255673
292	110.6008416
293	110.5822759
294	110.5754694
295	110.5564402
296	110.5342054
297	110.5212765
298	110.5024322
299	110.4780693
300	110.4580344
301	110.4422509
302	110.4140358
303	110.3880839
304	110.3688499
305	110.3478283
306	110.3337445
307	110.3019305
308	110.2939234
309	110.2815038
310	110.2727367
311	110.2507625
312	110.2388363
313	110.2168391
314	110.1879411
315	110.1750585
316	110.1572648
317	110.144523
318	110.13624
319	110.1056799
320	110.0917302
321	110.082513
322	110.0579621
323	110.0437539
324	110.0320539
325	110.0109084
326	109.9960136
327	109.9855379
328	109.9762659
329	109.9594953
330	109.9403379
331	109.9124763
332	109.9052084
333	109.890771
334	109.8712716
335	109.8564012
336	109.8399843
337	109.8195952
338	109.8005463
339	109.769218
340	109.7497549
341	109.7387669
342	109.7071269
343	109.6932499
344	109.6782395
345	109.6676482
346	109.6514433
347	109.6413085
348	109.6276572
349	109.6140009
350	109.5989577
351	109.5913109
352	109.5800146
353	109.5658869
354	109.5512696
355	109.5310335
356	109.5216169
357	109.5070445
358	109.4917691
359	109.4795898
360	109.4710914
361	109.4565783
362	109.4439501
363	109.4321314
364	109.4238584
365	109.4133848
366	109.4026048
367	109.3958364
368	109.3809851
369	109.3582607
370	109.3493379
371	109.3378113
372	109.3136364
373	109.301392
374	109.2839326
375	109.2609049
376	109.2411964
377	109.2255741
378	109.2074131
379	109.1910689
380	109.1773479
381	109.1669742
382	109.1598268
383	109.1421335
384	109.1332064
385	109.1187477
386	109.104645
387	109.0923636
388	109.0756464
389	109.0612361
390	109.0536264
391	109.0378278
392	109.0308444
393	109.0200895
394	109.0059989
395	108.9799988
396	108.9641391
397	108.9597531
398	108.9434957
399	108.9250324
400	108.9036884
401	108.8949512
402	108.8623405
403	108.8529787
404	108.8412864
405	108.8206967
406	108.8038814
407	108.7877429
408	108.7733429
409	108.7586413
410	108.7543124
411	108.7424308
412	108.7286414
413	108.713029
414	108.7037582
415	108.6857873
416	108.6675742
417	108.6521631
418	108.6292508
419	108.6102088
420	108.5999574
421	108.5898933
422	108.5794396
423	108.5728101
424	108.556272
425	108.5508408
426	108.534914
427	108.5220178
428	108.5155859
429	108.4959565
430	108.4914914
431	108.4744303
432	108.4616626
433	108.4475107
434	108.4281213
435	108.4152459
436	108.3933214
437	108.3843769
438	108.3765768
439	108.3591271
440	108.3504051
441	108.3452384
442	108.3384702
443	108.3174997
444	108.3043349
445	108.2911222
446	108.274792
447	108.2684205
448	108.2524751
449	108.2417886
450	108.2227302
451	108.2096392
452	108.1965775
453	108.1848726
454	108.174497
455	108.1622556
456	108.1411169
457	108.1321317
458	108.1269326
459	108.1071394
460	108.0853416
461	108.074586
462	108.0551971
463	108.0504875
464	108.0309443
465	108.0121321
466	108.0036419
467	107.992004
468	107.9725588
469	107.9609138
470	107.9462442
471	107.9358327
472	107.9286483
473	107.9108552
474	107.9048986
475	107.8865531
476	107.8789503
477	107.858692
478	107.831688
479	107.7963796
480	107.78883
481	107.7811126
482	107.7760791
483	107.7627853
484	107.7434069
485	107.7232803
486	107.6898056
487	107.6851838
488	107.6658739
489	107.6398589
490	107.6236714
491	107.6175884
492	107.6062814
493	107.5931547
494	107.5690614
495	107.5499186
496	107.5397999
497	107.5312995
498	107.5250127
499	107.5180224
500	107.4961597
501	107.4836213
502	107.4587771
503	107.445957
504	107.4403646
505	107.4343915
506	107.4207702
507	107.4155707
508	107.3966029
509	107.3898589
510	107.3807602
511	107.3698646
512	107.3648729
513	107.3601595
514	107.3297348
515	107.3196564
516	107.3044607
517	107.2964102
518	107.2888993
519	107.2709691
520	107.2639006
521	107.2555989
522	107.2491352
523	107.2446769
524	107.2306878
525	107.2195205
526	107.2098473
527	107.204355
528	107.1907323
529	107.1730776
530	107.1670226
531	107.1554701
532	107.1295009
533	107.1088006
534	107.0888087
535	107.0793959
536	107.0579123
537	107.0511007
538	107.0381171
539	107.0313248
540	107.0225668
541	107.0139551
542	106.9953507
543	106.9818298
544	106.9719583
545	106.9640168
546	106.9538487
547	106.9396253
548	106.9274569
549	106.9118067
550	106.9029707
551	106.8840254
552	106.8733606
553	106.8678195
554	106.846784
555	106.8252757
556	106.8182081
557	106.7990464
558	106.7747976
559	106.7594929
560	106.7487834
561	106.7421548
562	106.7341261
563	106.7261511
564	106.7099633
565	106.6913404
566	106.6843741
567	106.6752128
568	106.6511924
569	106.6355861
570	106.6256555
571	106.6062583
572	106.5995242
573	106.5953657
574	106.581777
575	106.5566788
576	106.5378883
577	106.5169428
578	106.5119218
579	106.4917834
580	106.4701885
581	106.4626321
582	106.4582627
583	106.4516937
584	106.4450255
585	106.4361532
586	106.4123034
587	106.4026843
588	106.3999401
589	106.3809153
590	106.3696783
591	106.3569371
592	106.3210183
593	106.3087307
594	106.2940251
595	106.2787965
596	106.2610134
597	106.2338804
598	106.2173541
599	106.2123838
600	106.1943522
601	106.1901475
602	106.1704482
603	106.1423442
604	106.1220342
605	106.1083956
606	106.0922989
607	106.0728223
608	106.0620805
609	106.051037
610	106.0438479
611	106.0295359
612	106.0164665
613	105.9988377
614	105.9851972
615	105.980302
616	105.9683649
617	105.946106
618	105.9378106
619	105.9278858
620	105.9210836
621	105.9089807
622	105.9030086
623	105.8898094
624	105.8694889
625	105.8486715
626	105.8234265
627	105.8029072
628	105.7973779
629	105.7878031
630	105.7810729
631	105.7676755
632	105.761792
633	105.7538226
634	105.7474533
635	105.7293636
636	105.7084254
637	105.6961079
638	105.6815706
639	105.6720265
640	105.6544807
641	105.640971
642	105.6328201
643	105.6196964
644	105.6015813
645	105.5965104
646	105.5791
647	105.5675127
648	105.5601116
649	105.5418088
650	105.5110767
651	105.5046587
652	105.5009608
653	105.4833507
654	105.4702348
655	105.4545729
656	105.4377114
657	105.4251565
658	105.4188167
659	105.4163084
660	105.4091082
661	105.4043617
662	105.3912025
663	105.3837638
664	105.3693862
665	105.3562579
666	105.3418672
667	105.3344051
668	105.3211913
669	105.3116266
670	105.3015739
671	105.2814684
672	105.2701506
673	105.2649138
674	105.2416366
675	105.2341462
676	105.2207038
677	105.2144443
678	105.208638
679	105.1988302
680	105.186358
681	105.1762479
682	105.1680103
683	105.1648952
684	105.157659
685	105.1533348
686	105.1395251
687	105.1364651
688	105.1224874
689	105.1119777
690	105.1056665
691	105.1033292
692	105.0864109
693	105.0777689
694	105.0637704
695	105.0592736
696	105.0544439
697	105.0457738
698	105.0336685
699	105.0184728
700	105.0148009
701	104.9999902
702	104.9873381
703	104.973665
704	104.9590926
705	104.9544689
706	104.9474895
707	104.9256814
708	104.9089332
709	104.8867623
710	104.8740781
711	104.8627017
712	104.8445667
713	104.825013
714	104.815212
715	104.8050737
716	104.7888348
717	104.7796575
718	104.7611835
719	104.7532484
720	104.745228
721	104.7255827
722	104.714344
723	104.7026942
724	104.6812766
725	104.6585931
726	104.6328821
727	104.6244142
728	104.6213667
729	104.6195331
730	104.6175422
731	104.6074771
732	104.5976567
733	104.5760377
734	104.5642196
735	104.5584303
736	104.5428805
737	104.5322607
738	104.5260234
739	104.522448
740	104.5150199
741	104.5049497
742	104.4922026
743	104.4834981
744	104.4581675
745	104.4382013
746	104.4326005
747	104.4177987
748	104.4138914
749	104.394783
750	104.389529
751	104.3834751
752	104.3613412
753	104.344558
754	104.3364801
755	104.3310855
756	104.3174819
757	104.295864
758	104.2942022
759	104.2861466
760	104.281227
761	104.2627875
762	104.2475523
763	104.224767
764	104.2071242
765	104.1921455
766	104.1741274
767	104.1626627
768	104.1543139
769	104.1425719
770	104.1308758
771	104.1173821
772	104.1106505
773	104.1006149
774	104.0875829
775	104.0748841
776	104.0491538
777	104.0449201
778	104.0383402
779	104.0279529
780	104.0201266
781	104.0120187
782	103.9988494
783	103.9897323
784	103.9772975
785	103.9636996
786	103.9560856
787	103.937997
788	103.9344874
789	103.9272959
790	103.914178
791	103.9024467
792	103.8902209
793	103.8801238
794	103.8686102
795	103.8649853
796	103.8513089
797	103.8421377
798	103.836763
799	103.8289429
800	103.8109264
801	103.7937031
802	103.7880082
803	103.776939
804	103.7615869
805	103.7464624
806	103.741158
807	103.7302397
808	103.7185197
809	103.7105724
810	103.6938394
811	103.6779603
812	103.666988
813	103.643524
814	103.6416013
815	103.6351037
816	103.6257929
817	103.6213423
818	103.6144691
819	103.609897
820	103.6052377
821	103.6009148
822	103.5964596
823	103.5880842
824	103.5682751
825	103.5627525
826	103.5478281
827	103.5395438
828	103.5304978
829	103.5209918
830	103.5167402
831	103.5033276
832	103.4788825
833	103.4729704
834	103.4637057
835	103.4622702
836	103.4497078
837	103.4385534
838	103.4135211
839	103.4104001
840	103.4057567
841	103.3905792
842	103.3849193
843	103.359798
844	103.3399656
845	103.3218909
846	103.3135968
847	103.3087386
848	103.2949103
849	103.2873481
850	103.2777938
851	103.2589838
852	103.2459456
853	103.2335984
854	103.228904
855	103.2181691
856	103.2079454
857	103.1921541
858	103.1856854
859	103.1599087
860	103.1476233
861	103.1374845
862	103.118763
863	103.1139264
864	103.1070619
865	103.0934769
866	103.0884336
867	103.0817738
868	103.0699965
869	103.0579159
870	103.0479003
871	103.0427319
872	103.037409
873	103.0215731
874	103.0142147
875	102.9923899
876	102.9870312
877	102.9727844
878	102.9518644
879	102.9396587
880	102.9372971
881	102.9213387
882	102.9130106
883	102.8818672
884	102.8642681
885	102.8583146
886	102.8502028
887	102.8384085
888	102.8345577
889	102.8131866
890	102.8076145
891	102.7980557
892	102.7933004
893	102.7816984
894	102.7689862
895	102.7653138
896	102.7558231
897	102.7460579
898	102.7326761
899	102.7253982
900	102.7166545
901	102.7105952
902	102.6871701
903	102.6805615
904	102.6705744
905	102.6580216
906	102.6331797
907	102.6114831
908	102.59423
909	102.5783781
910	102.5683357
911	102.5518592
912	102.5475722
913	102.5402853
914	102.5343901
915	102.526049
916	102.5146918
917	102.5088912
918	102.4862208
919	102.4713125
920	102.4602766
921	102.4448658
922	102.4403658
923	102.4327023
924	102.4254617
925	102.4085732
926	102.4037998
927	102.3970604
928	102.3861217
929	102.3751201
930	102.3665417
931	102.3449224
932	102.3359942
933	102.3309333
934	102.3236041
935	102.3011611
936	102.2925731
937	102.2779971
938	102.2526332
939	102.240706
940	102.22316
941	102.2179406
942	102.199917
943	102.1843218
944	102.173758
945	102.1616238
946	102.1526549
947	102.1343086
948	102.1301091
949	102.1283763
950	102.1203475
951	102.1137383
952	102.110545
953	102.0939278
954	102.08272
955	102.0741071
956	102.0603973
957	102.0514493
958	102.0352179
959	102.029699
960	102.0249422
961	102.0096559
962	101.9923402
963	101.9814593
964	101.9694814
965	101.9648529
966	101.9582335
967	101.9521771
968	101.9418836
969	101.9376192
970	101.9241264
971	101.9141042
972	101.8961242
973	101.8915767
974	101.8829222
975	101.8740419
976	101.8621808
977	101.8394843
978	101.8292428
979	101.8155835
980	101.7937044
981	101.7799685
982	101.7719075
983	101.7563309
984	101.7323906
985	101.7106102
986	101.6799134
987	101.6705585
988	101.6561296
989	101.6476175
990	101.6340871
991	101.6270137
992	101.6054146
993	101.5961702
994	101.5857437
995	101.5808282
996	101.5761043
997	101.5690037
998	101.556091
999	101.5543879
